,sno,sna,tot,sbi,sarea,mday,ar,bemp,act
527,500106120,YouBike2.0_螢橋公園,15,0,中正區,2023-05-27 13:39:04,和平西路一段110號旁,13,1
530,500107003,YouBike2.0_樂群二堤頂大道口,20,0,中山區,2023-05-27 13:46:04,堤頂大道二段382號(旁),19,1
531,500107004,YouBike2.0_劍潭社區,13,0,中山區,2023-05-27 09:55:11,通北街146巷2弄2號(對面公園),13,1
536,500107009,YouBike2.0_樂群二敬業三路口,20,0,中山區,2023-05-27 13:40:10,敬業三路155號(前),20,1
537,500107010,YouBike2.0_樂群二敬業四路口,36,0,中山區,2023-05-27 13:42:04,樂群二路186號,36,1
539,500107012,YouBike2.0_復興市民路口,45,2,中山區,2023-05-27 13:45:15,復興南路一段36-9號前人行道,43,1
544,500107017,YouBike2.0_南京新生路口,30,3,中山區,2023-05-27 13:46:15,新生北路一段/南京東路一段口(橋墩下方),26,1
545,500107018,YouBike2.0_一江公園,22,3,中山區,2023-05-27 13:28:14,一江街/松江路132巷口(西北側),19,1
546,500107019,YouBike2.0_松江公園,25,1,中山區,2023-05-27 13:43:14,松江路/松江路84巷(西北側路側),24,1
547,500107020,YouBike2.0_新生長春路口,20,1,中山區,2023-05-27 13:34:04,新生北路二段/新生北路二段68巷交叉口(新生橋下),18,1
548,500107021,YouBike2.0_第二果菜批發市場,28,2,中山區,2023-05-27 13:43:14,民族東路410巷2弄18號(東側),24,1
549,500107022,YouBike2.0_民生建國路口,26,0,中山區,2023-05-27 13:44:06,民生東路三段 / 建國北路二段口,26,1
552,500107025,YouBike2.0_龍江錦州街口,16,3,中山區,2023-05-27 13:39:14,龍江路287號前方,12,1
556,500107029,YouBike2.0_朱崙商場,31,0,中山區,2023-05-27 13:46:04,龍江路15號前,30,1
557,500107030,YouBike2.0_中吉公園,15,2,中山區,2023-05-27 13:34:14,松江路170巷20號對側,13,1
560,500107033,YouBike2.0_江寧公園,15,1,中山區,2023-05-27 13:39:14,合江街186號對側,13,1
564,500107037,YouBike2.0_林森農安街口,17,1,中山區,2023-05-27 13:38:14,林森北路582號(前),16,1
565,500107038,YouBike2.0_捷運中山國小站(4號出口),20,1,中山區,2023-05-27 13:45:05,民權東路一段/民權東路一段71巷口,19,1
566,500107039,YouBike2.0_農安雙城街口,15,1,中山區,2023-05-27 13:38:14,農安街12-1號前方,14,1
568,500107041,YouBike2.0_民族林森路口,20,0,中山區,2023-05-27 12:59:04,民族東路17號前,18,1
