,編號,名稱,車輛數,可借,行政區,日期,地址,可還,狀態
24,500101027,YouBike2.0_臺灣科技大學後門,39,1,大安區,2023-05-27 15:49:14,基隆路四段41巷68弄臺科帆船大樓旁,37,1
25,500101028,YouBike2.0_臺大醫學院附設癌醫中心,20,1,大安區,2023-05-27 15:40:22,基隆路三段155巷57號西側,19,1
26,500101029,YouBike2.0_臺大環研大樓,15,1,大安區,2023-05-27 15:32:13,芳蘭路/基隆路三段155巷口,14,1
29,500101032,YouBike2.0_臺大男一舍前,61,5,大安區,2023-05-27 15:49:14,長興街50號西北側,56,1
31,500101034,YouBike2.0_臺大動物醫院前,18,5,大安區,2023-05-27 15:49:14,基隆路三段155巷/基隆路四段口,13,1
32,500101035,YouBike2.0_臺大土木研究大樓前,24,5,大安區,2023-05-27 15:32:13,辛亥路三段188號,18,1
33,500101036,YouBike2.0_臺大萬才館前,20,3,大安區,2023-05-27 15:15:14,臺大萬才館北側,17,1
34,500101037,YouBike2.0_臺大國青大樓宿舍前,20,4,大安區,2023-05-27 15:45:15,辛亥路三段30號西北側,16,1
35,500101038,YouBike2.0_臺大社科院圖書館前,27,6,大安區,2023-05-27 15:44:14,辛亥路與復興南路口西南側,21,1
39,500101042,YouBike2.0_基隆長興路口東側,15,1,大安區,2023-05-27 15:41:16,基隆長興路口東側,14,1
40,500101091,YouBike2.0_國北教大側門南側,25,2,大安區,2023-05-27 15:39:14,敦南街51號,22,1
41,500101092,YouBike2.0_和平實小東北側,13,5,大安區,2023-05-27 15:43:15,敦南街73號,8,1
42,500101093,YouBike2.0_大安區健康服務中心,15,2,大安區,2023-05-27 15:34:13,辛亥路三段15號,13,1
43,500101094,YouBike2.0_辛亥泰順街口,20,0,大安區,2023-05-27 15:25:05,辛亥泰順街口東南側,18,1
46,500101098,YouBike2.0_臥龍公園,14,3,大安區,2023-05-27 15:44:14,辛亥路三段223號西側,11,1
49,500101101,YouBike2.0_捷運六張犁站,64,2,大安區,2023-05-27 15:49:14,和平東路三段410號,62,1
50,500101102,YouBike2.0_喬治工商,26,4,大安區,2023-05-27 15:45:15,基隆路二段166號,21,1
51,500101103,YouBike2.0_法治公園,15,0,大安區,2023-05-27 15:32:04,通化街189號西側,14,1
52,500101104,YouBike2.0_捷運臺電大樓站(2號出口),15,5,大安區,2023-05-27 15:43:15,辛亥路一段/羅斯福路三段口北側(辛亥路側),10,1
54,500101107,YouBike2.0_和平龍泉街口,34,2,大安區,2023-05-27 15:46:15,和平東路一段/龍泉街口西南側,31,1
55,500101108,YouBike2.0_和平泰順街口,9,5,大安區,2023-05-27 15:48:14,和平東路一段/泰順街口東南側,4,1
58,500101111,YouBike2.0_捷運古亭站(5號出口),14,6,大安區,2023-05-27 15:49:14,和平東路一段19號前,8,1
63,500101117,YouBike2.0_捷運東門站(3號出口),15,6,大安區,2023-05-27 15:46:15,信義路二段128號前,9,1
64,500101118,YouBike2.0_金甌女中,12,3,大安區,2023-05-27 15:35:15,信義路二段與杭州南路二段東南側,8,1
67,500101122,YouBike2.0_敦化南路二段293巷口南側,14,1,大安區,2023-05-27 15:27:14,敦化南路二段293巷口南側,13,1
68,500101123,YouBike2.0_敦化基隆路口,29,4,大安區,2023-05-27 15:41:16,敦化南路二段218號,23,1
69,500101124,YouBike2.0_安和路二段181巷口,17,1,大安區,2023-05-27 15:49:14,安和路二段185號,16,1
70,500101125,YouBike2.0_臨江街夜市(通化街101巷口),30,4,大安區,2023-05-27 15:47:14,通化街111號,25,1
71,500101126,YouBike2.0_臨江街夜市(基隆路),17,2,大安區,2023-05-27 15:35:15,基隆路二段108號,14,1
72,500101127,YouBike2.0_台北科技大學億光大樓,46,4,大安區,2023-05-27 15:47:14,忠孝東路三段81號,41,1
73,500101128,YouBike2.0_新生南路一段119巷口,33,3,大安區,2023-05-27 15:48:14,新生南路一段113號,27,1
75,500101130,YouBike2.0_民榮公園,15,0,大安區,2023-04-20 07:22:04,建國南路一段304巷45號南側,15,0
79,500101134,YouBike2.0_捷運大安站(4號出口),13,2,大安區,2023-05-27 15:49:14,信義路4段6號(前),9,1
81,500101136,YouBike2.0_信義大安路口(信維大樓),12,2,大安區,2023-05-27 15:45:15,信義路四段74號(前),9,1
83,500101138,YouBike2.0_仁愛安和路口,25,4,大安區,2023-05-27 15:48:14,仁愛路四段258號前,21,1
85,500101140,YouBike2.0_仁愛國中,25,1,大安區,2023-05-27 15:46:15,安和路一段75號(對面),22,1
86,500101141,YouBike2.0_捷運信義安和站(2號出口),26,3,大安區,2023-05-27 15:41:16,信義路四段188號前,22,1
88,500101143,YouBike2.0_昌隆公園,16,1,大安區,2023-05-27 15:30:44,市民大道三段206號西側,14,1
90,500101145,YouBike2.0_信義延吉街口,15,2,大安區,2023-05-27 15:45:15,信義路四段353號,13,1
91,500101146,YouBike2.0_光信公園(光復南路456巷),15,2,大安區,2023-05-27 15:46:15,延吉街249號,12,1
92,500101147,YouBike2.0_僑安地下停車場(2號出口)東南側,20,3,大安區,2023-05-27 15:41:16,光復南路290巷5號,16,1
94,500101149,YouBike2.0_捷運忠孝新生站(6號出口),15,2,大安區,2023-05-27 15:41:16,新生南路一段101號,13,1
95,500101150,YouBike2.0_捷運忠孝新生站(4號出口),34,3,大安區,2023-05-27 15:43:15,忠孝新生路口北側,30,1
96,500101151,YouBike2.0_大安高工,23,4,大安區,2023-05-27 15:48:14,復興南路二段52號(前),18,1
97,500101152,YouBike2.0_捷運忠孝新生站(3號出口),23,3,大安區,2023-05-27 15:45:15,忠孝東路三段與10巷口,20,1
98,500101153,YouBike2.0_瑠公公園,20,4,大安區,2023-05-27 15:42:13,忠孝東路四段49巷4弄/大安路口,15,1
99,500101154,YouBike2.0_敦化市民路口,23,5,大安區,2023-05-27 15:47:14,敦化南路1段158號(前),15,1
